Gene ID	TSS ID	Transcript ID	gene name
LH00001	TSS5	CUFF.182.5,CUFF.182.7	RP4-669L17.10
LH00002	TSS11	ENST00000419160	RP4-669L17.10
LH00003	TSS12	ENST00000601814	RP4-669L17.10
LH00004	TSS24	CUFF.184.1	RP5-857K21.15
LH00005	TSS17	CUFF.182.21	RP5-857K21.15
LH00006	TSS23	CUFF.182.27	RP5-857K21.15
LH00007	TSS27	ENST00000422528	RP11-206L10.4
LH00008	TSS28	P1P2	RP11-206L10.9
LH00008	TSS29	P1P2	RP11-206L10.9
LH00009	TSS31	CUFF.67.8	RP11-206L10.9
LH00010	TSS32	ENST00000585745,ENST00000585768	RP11-206L10.9
LH00011	TSS34	ENST00000443772	RP11-206L10.9
LH00012	TSS35	ENST00000412115	RP11-206L10.9
LH00013	TSS36	ENST00000326734	FAM87B
LH00014	TSS37	CUFF.7.1	-
LH00015	TSS38	CUFF.7.2	-
LH00016	TSS39	P1P2	LINC01128
LH00017	TSS40	ENST00000608189,ENST00000609009	LINC01128
LH00018	TSS41	P1P2	LINC01128
LH00019	TSS45	CUFF.62.1	RP11-54O7.16
LH00020	TSS47	P1P2	RP11-54O7.1
LH00021	TSS48	ENST00000398216	RP11-54O7.2
LH00022	TSS50	CUFF.5.1	-
LH00023	TSS51	P1P2	RP11-54O7.14
LH00024	TSS52	CUFF.16.11	-
LH00025	TSS59	P1P2	RP11-465B22.8
LH00026	TSS64	CUFF.12.1	RP5-902P8.10
LH00027	TSS65	ENST00000434139,ENST00000453732	RP5-902P8.10
LH00028	TSS69	CUFF.37.1	-
LH00029	TSS67	CUFF.36.6	MXRA8-ASTUCP1
LH00030	TSS68	CUFF.36.9,CUFF.36.11	MXRA8-ASTUCP1
LH00031	TSS71	CUFF.23.1	-
LH00032	TSS72	ENST00000607307	RP4-758J18.13
LH00033	TSS76	CUFF.50.1	-
LH00034	TSS77	CUFF.120.1,CUFF.120.2	LINC-C1orf233-1
LH00035	TSS81	CUFF.40.1	-
LH00036	TSS82	P1P2	RP11-345P4.10
LH00037	TSS83	ENST00000596308	RP11-345P4.7
LH00038	TSS84	P1P2	RP1-140A9.1
LH00039	TSS86	CUFF.42.1	-
LH00040	TSS103	ENST00000442483	RP11-181G12.4
LH00041	TSS107	CUFF.61.1	-
LH00042	TSS111	CUFF.75.2	RP4-740C4.6
LH00043	TSS114	CUFF.78.1	RP4-740C4.7
LH00044	TSS113	CUFF.75.4	-
LH00045	TSS115	CUFF.70.1	-
LH00046	TSS122	ENST00000606645	RP3-395M20.12
LH00047	TSS146	ENST00000606489	RP11-168F9.2
LH00048	TSS153	ENST00000607459	RP1-286D6.5
LH00049	TSS160	CUFF.188.1,CUFF.188.8,CUFF.188.5,CUFF.188.6	-
LH00049	TSS161	CUFF.188.23,CUFF.188.25	-
LH00050	TSS178	CUFF.175.1	-
LH00051	TSS180	CUFF.143.3	-
LH00052	TSS198	CUFF.201.1	-
LH00053	TSS220	P1P2	LINC00337
LH00053	TSS221	P1P2	LINC00337
LH00054	TSS222	ENST00000429480	LINC00337
LH00055	TSS223	CUFF.216.1	-
LH00056	TSS224	ENST00000607670	RP1-202O8.3
LH00057	TSS226	CUFF.217.3	-
LH00058	TSS227	CUFF.222.1	-
LH00059	TSS236	CUFF.246.1	-
LH00060	TSS239	ENST00000602406	RP3-467L1.6
LH00061	TSS240	CUFF.251.1	-
LH00062	TSS256	CUFF.282.14	-
LH00063	TSS274	CUFF.275.1	-
LH00064	TSS279	P1P2	ENO1-AS1
LH00065	TSS286	CUFF.339.2,CUFF.339.3,CUFF.339.4	-
LH00066	TSS288	CUFF.342.1	-
LH00067	TSS289	CUFF.342.2	-
LH00068	TSS290	P1P2	RP3-510D11.2
LH00069	TSS307	CUFF.326.2	RP11-84A14.5
LH00070	TSS308	CUFF.326.3	RP11-84A14.5
LH00071	TSS309	P1P2	RP11-84A14.5
LH00072	TSS312	CUFF.320.1	-
LH00073	TSS313	CUFF.320.2	-
LH00074	TSS314	P1P2	RP11-84A14.4
LH00075	TSS315	ENST00000413148	RP11-807G9.2
LH00076	TSS316	CUFF.336.1	RP5-1113E3.3
LH00077	TSS317	ENST00000424487	RP5-1113E3.3
LH00078	TSS320	CUFF.335.1	-
LH00079	TSS321	CUFF.335.2	-
LH00080	TSS327	ENST00000607145	RP4-635E18.8
LH00081	TSS328	CUFF.359.1	-
LH00082	TSS331	P1P2	RP4-635E18.6
LH00083	TSS332	ENST00000445982	MTOR-AS1
LH00084	TSS348	P1P2	NPPA-AS1
LH00085	TSS352	CUFF.390.1	-
LH00086	TSS359	CUFF.393.2	-
LH00087	TSS360	CUFF.398.1	RP11-474O21.5
LH00088	TSS379	CUFF.696.10	RNU6-1265P-ASTUCP1
