ENST00000493797.1_1	RP11-34P13.14	ENST00000423372.3	AL627309.1
ENST00000458555.1_1	RP11-54O7.11	ENST00000379389.4_2	ISG15
ENST00000379317.1_1	TTLL10-AS1	ENST00000379288.3_1	TTLL10
ENST00000379317.1_1	TTLL10-AS1	ENST00000460998.1_1	TTLL10
ENST00000379317.1_1	TTLL10-AS1	ENST00000514695.1_1	TTLL10
ENST00000444968.1_1	RP5-890O3.9	ENST00000531377.5_1	CPSF3L
ENST00000448629.5_1	RP4-758J18.2	ENST00000497013.1_1	CCNL2
ENST00000448629.5_1	RP4-758J18.2	ENST00000496007.5_1	CCNL2
ENST00000448629.5_1	RP4-758J18.2	ENST00000481223.6_1	CCNL2
ENST00000448629.5_1	RP4-758J18.2	ENST00000400809.7_1	CCNL2
ENST00000448629.5_1	RP4-758J18.2	ENST00000408918.8_1	CCNL2
ENST00000448629.5_1	RP4-758J18.2	ENST00000425598.2_1	CCNL2
ENST00000448629.5_1	RP4-758J18.2	ENST00000488340.5_1	CCNL2
ENST00000444362.2_1	RP4-758J18.2	ENST00000497013.1_1	CCNL2
ENST00000444362.2_1	RP4-758J18.2	ENST00000496007.5_1	CCNL2
ENST00000444362.2_1	RP4-758J18.2	ENST00000481223.6_1	CCNL2
ENST00000444362.2_1	RP4-758J18.2	ENST00000400809.7_1	CCNL2
ENST00000444362.2_1	RP4-758J18.2	ENST00000408918.8_1	CCNL2
ENST00000444362.2_1	RP4-758J18.2	ENST00000425598.2_1	CCNL2
ENST00000444362.2_1	RP4-758J18.2	ENST00000488340.5_1	CCNL2
ENST00000418833.2_1	RP4-758J18.2	ENST00000497013.1_1	CCNL2
ENST00000418833.2_1	RP4-758J18.2	ENST00000496007.5_1	CCNL2
ENST00000418833.2_1	RP4-758J18.2	ENST00000481223.6_1	CCNL2
ENST00000418833.2_1	RP4-758J18.2	ENST00000400809.7_1	CCNL2
ENST00000418833.2_1	RP4-758J18.2	ENST00000408918.8_1	CCNL2
ENST00000418833.2_1	RP4-758J18.2	ENST00000425598.2_1	CCNL2
ENST00000418833.2_1	RP4-758J18.2	ENST00000488340.5_1	CCNL2
ENST00000576232.1_1	RP4-758J18.2	ENST00000497013.1_1	CCNL2
ENST00000576232.1_1	RP4-758J18.2	ENST00000496007.5_1	CCNL2
ENST00000576232.1_1	RP4-758J18.2	ENST00000481223.6_1	CCNL2
ENST00000576232.1_1	RP4-758J18.2	ENST00000400809.7_1	CCNL2
ENST00000576232.1_1	RP4-758J18.2	ENST00000408918.8_1	CCNL2
ENST00000576232.1_1	RP4-758J18.2	ENST00000425598.2_1	CCNL2
ENST00000576232.1_1	RP4-758J18.2	ENST00000488340.5_1	CCNL2
ENST00000570344.1_1	RP4-758J18.2	ENST00000497013.1_1	CCNL2
ENST00000570344.1_1	RP4-758J18.2	ENST00000496007.5_1	CCNL2
ENST00000570344.1_1	RP4-758J18.2	ENST00000481223.6_1	CCNL2
ENST00000570344.1_1	RP4-758J18.2	ENST00000400809.7_1	CCNL2
ENST00000570344.1_1	RP4-758J18.2	ENST00000408918.8_1	CCNL2
ENST00000570344.1_1	RP4-758J18.2	ENST00000425598.2_1	CCNL2
ENST00000570344.1_1	RP4-758J18.2	ENST00000488340.5_1	CCNL2
ENST00000447725.2_1	RP4-758J18.2	ENST00000497013.1_1	CCNL2
ENST00000447725.2_1	RP4-758J18.2	ENST00000496007.5_1	CCNL2
ENST00000447725.2_1	RP4-758J18.2	ENST00000481223.6_1	CCNL2
ENST00000447725.2_1	RP4-758J18.2	ENST00000400809.7_1	CCNL2
ENST00000447725.2_1	RP4-758J18.2	ENST00000408918.8_1	CCNL2
ENST00000447725.2_1	RP4-758J18.2	ENST00000425598.2_1	CCNL2
ENST00000447725.2_1	RP4-758J18.2	ENST00000488340.5_1	CCNL2
ENST00000572242.1_1	RP4-758J18.2	ENST00000497013.1_1	CCNL2
ENST00000572242.1_1	RP4-758J18.2	ENST00000496007.5_1	CCNL2
ENST00000572242.1_1	RP4-758J18.2	ENST00000481223.6_1	CCNL2
ENST00000572242.1_1	RP4-758J18.2	ENST00000400809.7_1	CCNL2
ENST00000572242.1_1	RP4-758J18.2	ENST00000408918.8_1	CCNL2
ENST00000572242.1_1	RP4-758J18.2	ENST00000425598.2_1	CCNL2
ENST00000572242.1_1	RP4-758J18.2	ENST00000488340.5_1	CCNL2
ENST00000428932.1_1	RP4-758J18.7	ENST00000454272.2_1	ANKRD65
ENST00000454562.1_1	RP4-758J18.10	ENST00000495558.1_1	VWA1
ENST00000417917.1_1	RP4-758J18.10	ENST00000495558.1_1	VWA1
ENST00000430109.1_1	RP4-758J18.10	ENST00000495558.1_1	VWA1
ENST00000430109.1_1	RP4-758J18.10	ENST00000338660.5_1	VWA1
ENST00000366221.3_2	RP5-832C2.5	ENST00000359060.5_1	SSU72
ENST00000366221.3_2	RP5-832C2.5	ENST00000378725.3_1	SSU72
ENST00000366221.3_2	RP5-832C2.5	ENST00000291386.3_1	SSU72
ENST00000607222.1_1	RP11-345P4.9	ENST00000520777.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000355826.9_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000518681.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000505820.6_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000479659.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000489635.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000511502.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000477990.1_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000514363.1_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000487053.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000502470.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000378712.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000507082.1_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000463492.1_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000510793.5_2	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000504599.5_1	MIB2
ENST00000607222.1_1	RP11-345P4.9	ENST00000507229.5_1	MIB2
ENST00000607013.1_1	RP11-345P4.10	ENST00000341028.8_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000340677.9_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000341832.10_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000407249.7_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000611150.3_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000615951.4_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000626918.2_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000629289.2_1	CDK11B
ENST00000607013.1_1	RP11-345P4.10	ENST00000629312.2_1	CDK11B
ENST00000412228.1_1	RP1-140A9.1	ENST00000439272.6_1	GNB1
ENST00000412228.1_1	RP1-140A9.1	ENST00000472614.2_1	GNB1
ENST00000412228.1_1	RP1-140A9.1	ENST00000378609.8_1	GNB1
