gene_name	gene_id	transcript_id	ctrl_status	tss_chr_hg38	tss_start_hg38	tss_strand_hg38	meets_filter	rep1_score	rep2_score	mean_score	padj
SOX17	ENSG00000164736.5_1	ENST00000297316.4_1	control mRNA	chr8	54457934	+	True	232.27943448128016	313.2952143323754	272.7873244068278	0.00028406268618574664
EOMES	ENSG00000163508.12_1	ENST00000461503.2_1	control mRNA	chr3	27722707	-	True	156.57072240523576	22.862834583841337	89.71677849453856	0.00028406268618574664
EOMES	ENSG00000163508.12_1	ENST00000295743.8_1	control mRNA	chr3	27722322	-	True	43.59491378264728	112.57425592029415	78.0845848514707	0.00028406268618574664
CTD-2270L9.4	ENSG00000260136.5_1	['ENST00000562842.1_1', 'ENST00000565747.5_1', 'ENST00000570080.1_1']	lncRNA	chr16	23452748	+	True	3.702625913133828	62.143086924944996	32.922856419039405	0.009618980805654062
RP11-120D5.1	ENSG00000234129.7_1	['ENST00000608176.5_1', 'ENST00000608916.1_1']	lncRNA	chrX	11111137	-	True	21.63655527912229	15.06032664459682	18.34844096185956	0.00028406268618574664
LINC01224	ENSG00000269416.5_1	['ENST00000593573.5_1', 'ENST00000594576.5_1', 'ENST00000596763.1_1', 'ENST00000598922.1_1', 'ENST00000600643.5_1', 'ENST00000601293.5_1', 'ENST00000601338.5_1', 'ENST00000602077.5_1']	lncRNA	chr19	23416046	-	False	33.820032851454876	2.081008871641048	17.950520861547965	filter not met
RP11-121L10.2	ENSG00000280367.1_1	ENST00000623330.1_1	lncRNA	chr11	90223166	+	True	4.561470915864256	31.045322750689806	17.803396833277034	0.0013430874387977232
RP11-222K16.2	ENSG00000272282.1_1	ENST00000606069.1_1	lncRNA	chr3	27712918	+	True	12.879865090848908	10.795374130345484	11.837619610597196	0.00028406268618574664
AC068831.3	ENSG00000224441.1_1	ENST00000448987.1_1	lncRNA	chr15	90935157	-	True	6.4706444997310495	17.070587532998125	11.770616016364588	0.0004350315483077237
RP3-508I15.9	ENSG00000228274.3_2	['ENST00000412067.1_1', 'ENST00000431924.2_1', 'ENST00000444381.1_1']	lncRNA	chr22	38681855	-	True	19.53281590197372	2.84562625083716	11.18922107640544	0.008483488837009312
PITPNA-AS1	ENSG00000236618.2_1	ENST00000425081.2_1	lncRNA	chr17	1516924	+	True	15.332915387239233	4.814294622393193	10.073605004816212	0.0009874577853859303
FOXA2	ENSG00000125798.14_2	ENST00000419308.6_1	control mRNA	chr20	22584571	-	True	7.851166495194786	12.21185950091886	10.031512998056822	0.00028406268618574664
ACVR2B-AS1	ENSG00000229589.1_1	ENST00000441531.1_1	lncRNA	chr3	38454682	-	True	5.308259804488703	11.596381746061272	8.452320775274988	0.0004350315483077237
LINC01424	ENSG00000236519.1_1	ENST00000417820.1_1	lncRNA	chr21	44801879	+	True	7.2561430006160315	5.765489842272882	6.510816421444456	0.00028406268618574664
PMAIP1	ENSG00000141682.11_1	ENST00000316660.6_1	diff. expr. mRNA	chr18	59899995	+	True	7.40585324016737	3.883300455089463	5.644576847628416	0.0012732980938627919
SNHG12	ENSG00000197989.13_1	['ENST00000461448.5_1', 'ENST00000461832.1_1', 'ENST00000470977.5_1', 'ENST00000474814.1_1', 'ENST00000481220.5_1', 'ENST00000481368.5_1', 'ENST00000483436.5_1', 'ENST00000531126.5_1']	lncRNA	chr1	28581871	-	False	6.9473918125579415	3.974507891268966	5.460949851913453	filter not met
FOXD3-AS1	ENSG00000230798.5_1	['ENST00000418244.5_1', 'ENST00000449386.5_1']	lncRNA	chr1	63322446	-	True	8.36226833706666	2.2774561091239627	5.319862223095312	0.04750377926860162
RP3-339A18.6	ENSG00000233250.1_2	ENST00000418049.1_1	lncRNA	chrX	53433770	-	False	9.042325799678027	1.5105220674804742	5.2764239335792515	filter not met
AC007952.4	ENSG00000266311.6_2	ENST00000495691.2_1	lncRNA	chr17	19174435	-	True	7.9647259356496445	2.446825563578957	5.2057757496143005	0.026679225108942047
