gene_id	gene_name	csf	cleaner_gene_biotype	minimal_biotype	endo_ctrl_val	min_hit	max_eff	max_exp	gc	n_tss	n_enh	enh_dist	prom_cons	exon_cons	dna_len	rna_len	n_exons	hESC_mean	endo_mean	endo_hESC_abslog2fc	closest_endo_snp_distance	closest_endo_snp_id	closest_endo_snp_disease
ENSG00000243485.4_2	MIR1302-2	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.20812646875146665	0.559674	0.5451473333333333	0.0	18.0	809376	0.0	0.0	1543	712	3	0.08845981133588199	0.0	0.12228814059291496	863464	rs13303010	pancreatic carcinoma
ENSG00000237613.2_1	FAM138A	lncRNA_good_csf	intergenic	lncRNA	False	lenient	0.15403167270842688	0.2226095	0.46556499999999995	0.0	18.0	803661	0.0	0.006666666666666667	1527	1187	3	0.0	0.4803021658599666	0.5658916952409561	858492	rs13303010	pancreatic carcinoma
ENSG00000238009.6_2	RP11-34P13.7	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.6887014090814655	2.415708	0.5372881999999999	0.0	26.0	706019	0.38	0.505	36987	2748	4	0.6340215587746854	0.9630334960283076	0.452706177034698	760850	rs13303010	pancreatic carcinoma
ENSG00000239945.1_2	RP11-34P13.8	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.02755295796729673	2.9872229999999997	0.5253979999999999	0.0	21.0	748637	0.11	0.14	1554	1319	2	0.207940136066885	0.3071496343322335	0.11387534295573976	803468	rs13303010	pancreatic carcinoma
ENSG00000239906.1_1	RP11-34P13.14	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.9507386735787664	19.2999	0.4613	0.0	28.0	699403	0.06	0.27	549	323	2	13.4511853308654	15.657979130349949	0.2050255582879693	754234	rs13303010	pancreatic carcinoma
ENSG00000241860.6_1	RP11-34P13.13	lncRNA_good_csf	transcript_overlap	lncRNA	False	lenient	0.8552968491566897	6.986401000000001	0.5292640000000001	0.0	31.0	665880	0.02	0.6566666666666666	27476	4860	8	10.895127979077014	13.035813379182766	0.32804180978666536	720711	rs13303010	pancreatic carcinoma
ENSG00000241599.1_1	RP11-34P13.9	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.007870144832037185	0.799435	0.599562	0.0	30.0	679296	0.11	0.06	1079	457	2	0.519421864871974	1.039770061304107	0.4248840423332691	733048	rs13303010	pancreatic carcinoma
ENSG00000228463.9_2	AP006222.2	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.8787002484333222	14.735017000000001	0.5472496	0.0	33.0	572489	0.08	0.44333333333333336	31141	2257	4	0.8536290883590429	0.8177349354121808	0.2120760762830039	627320	rs13303010	pancreatic carcinoma
ENSG00000237094.7	RP4-669L17.10	lncRNA_good_csf	transcript_overlap	lncRNA	False	lenient	0.9883050165974212	87.18676560499998	0.4951614	0.0	40.0	386525	0.77	0.505	112026	2661	4	75.18259984227768	68.52337951865118	0.5488622338869196	440625	rs13303010	pancreatic carcinoma
ENSG00000230021.8_1	RP5-857K21.4	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.6691182644828554	7.1140277875	0.5316457692307692	0.0	47.0	76566	0.19	0.51	233488	1004	6	0.7226076182714569	0.37375267901849696	0.4892549940017797	131397	rs13303010	pancreatic carcinoma
ENSG00000229905.1_1	RP11-206L10.4	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.0	0.0	0.598684	0.0	43.0	143451	0.11	0.155	1078	456	2	0.21319469774409214	0.2636175729840115	0.05874880792714007	197204	rs13303010	pancreatic carcinoma
ENSG00000237491.8_1	RP11-206L10.9	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.7140447469366253	4.9749295999999985	0.5266670999999999	0.0	46.0	99430	0.18	0.41	25819	1873	7	12.275811244065034	8.493515054327881	0.9718565886422342	149133	rs13303010	pancreatic carcinoma
ENSG00000177757.2_1	FAM87B	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.16504032579517752	0.2463585	0.497175	0.0	47.0	86991	0.02	0.0	2466	1947	2	0.0	0.1025490735301263	0.14084287035236132	139356	rs13303010	pancreatic carcinoma
ENSG00000228794.8_1	LINC01128	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.955623881353988	27.47262545	0.49244466666666664	2.0	48.0	53014	0.01	0.02666666666666667	31838	6606	6	6.047930447855726	11.61322847815198	1.0069465099000905	99747	rs13303010	pancreatic carcinoma
ENSG00000225880.5_1	LINC00115	lncRNA_good_csf	promoter_overlap	lncRNA	False	no hit	0.4431988896449148	1.378057385	0.473045	1.0	47.0	76840	0.0	0.0	1316	1317	1	0.4180233110169779	0.5222484748420211	0.10232261812051256	131671	rs13303010	pancreatic carcinoma
ENSG00000230368.2_1	FAM41C	lncRNA_good_csf	intergenic	lncRNA	False	no hit	0.2322990550636433	0.40324737	0.5358973333333333	0.0	50.0	27459	0.26	0.3375	8832	1807	4	0.10377990301684116	0.10760585819290767	0.004992066208774698	82290	rs13303010	pancreatic carcinoma
ENSG00000272438.1_2	RP11-54O7.16	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.8541893625018218	35.30928	0.373219	3.0	51.0	0	0.0	0.0	11142	351	2	1.4121887862513052	3.435873781471465	0.8788754936130766	43217	rs13303010	pancreatic carcinoma
ENSG00000272512.1_1	RP11-54O7.17	lncRNA_good_csf	gene_nearby	lncRNA	False	no hit	0.19521412511340674	8.019822	0.338447	0.0	52.0	3222	0.0	0.0	2085	2086	1	0.07763517360157465	1.0587107795591302	0.9338723197730484	36774	rs13303010	pancreatic carcinoma
ENSG00000224969.1_1	RP11-54O7.11	lncRNA_good_csf	transcript_overlap	lncRNA	False	no hit	0.12487104942323925	0.352479	0.543524	1.0	52.0	2539	0.0	0.0	1196	471	2	0.4321080425228221	0.6094255001158722	0.16840545844054827	52805	rs13303010	pancreatic carcinoma
