gene_id	gene_name	biotype	lncrna_class	tsne_f1	tsne_f2	screen_hit	assigned_cluster
ENSG00000243485.4_2	MIR1302-2	lncRNA	intergenic	10.834468	64.37454	no hit	2
ENSG00000237613.2_1	FAM138A	lncRNA	intergenic	11.012278	64.12489	lenient	2
ENSG00000238009.6_2	RP11-34P13.7	lncRNA	transcript_overlap	12.531349	59.84205	no hit	2
ENSG00000239945.1_2	RP11-34P13.8	lncRNA	transcript_overlap	10.284887	64.09755	no hit	2
ENSG00000239906.1_1	RP11-34P13.14	lncRNA	promoter_overlap	12.335628	60.05893	no hit	2
ENSG00000241860.6_1	RP11-34P13.13	lncRNA	transcript_overlap	12.773238	59.368145	lenient	2
ENSG00000241599.1_1	RP11-34P13.9	lncRNA	transcript_overlap	9.476008	64.687065	no hit	2
ENSG00000228463.9_2	AP006222.2	lncRNA	intergenic	12.6020155	59.054356	no hit	2
ENSG00000237094.7	RP4-669L17.10	lncRNA	transcript_overlap	14.140608	-66.28919	lenient	1
ENSG00000230021.8_1	RP5-857K21.4	lncRNA	promoter_overlap	7.9719496	39.232056	no hit	2
ENSG00000229905.1_1	RP11-206L10.4	lncRNA	transcript_overlap	-12.008782	52.296314	no hit	2
ENSG00000237491.8_1	RP11-206L10.9	lncRNA	transcript_overlap	-18.14856	32.562653	no hit	2
ENSG00000177757.2_1	FAM87B	lncRNA	transcript_overlap	-42.4742	16.559015	no hit	2
ENSG00000228794.8_1	LINC01128	lncRNA	transcript_overlap	16.768257	17.245365	no hit	1
ENSG00000225880.5_1	LINC00115	lncRNA	promoter_overlap	-15.1234255	1.8004688	no hit	2
ENSG00000230368.2_1	FAM41C	lncRNA	intergenic	-36.17816	9.619921	no hit	2
ENSG00000272438.1_2	RP11-54O7.16	lncRNA	transcript_overlap	-15.377542	-16.153011	no hit	2
ENSG00000272512.1_1	RP11-54O7.17	lncRNA	gene_nearby	-28.947256	-23.343706	no hit	2
ENSG00000224969.1_1	RP11-54O7.11	lncRNA	transcript_overlap	-17.50367	15.560148	no hit	2
ENSG00000242590.1_2	RP11-54O7.14	lncRNA	transcript_overlap	-38.117348	-19.882437	no hit	2
ENSG00000273443.1_1	RP11-54O7.18	lncRNA	intergenic	-30.467812	-24.99382	no hit	2
ENSG00000223823.1_1	LINC01342	lncRNA	intergenic	-30.061657	-24.677929	lenient	2
ENSG00000272141.1_1	RP11-465B22.8	lncRNA	intergenic	-28.040869	-21.200174	no hit	2
ENSG00000205231.1_1	TTLL10-AS1	lncRNA	transcript_overlap	-34.22546	-22.12623	no hit	2
ENSG00000230415.1_1	RP5-902P8.10	lncRNA	gene_nearby	-30.366697	-10.478418	no hit	2
ENSG00000240731.1_2	RP5-890O3.9	lncRNA	transcript_overlap	-47.788773	-5.352613	no hit	2
ENSG00000224870.6_1	RP4-758J18.2	lncRNA	promoter_overlap	-13.299675	-14.46332	no hit	2
ENSG00000272455.1_1	RP4-758J18.13	lncRNA	intergenic	-43.150932	-4.213585	no hit	2
ENSG00000225905.1_1	RP4-758J18.7	lncRNA	transcript_overlap	-28.29424	-26.766743	no hit	2
ENSG00000225285.1_1	RP4-758J18.10	lncRNA	promoter_overlap	-26.963442	-20.612562	no hit	2
ENSG00000215014.4_2	RP5-832C2.5	lncRNA	promoter_overlap	-4.8111777	11.241334	no hit	2
ENSG00000272004.1_1	RP11-345P4.10	lncRNA	promoter_overlap	-54.859974	-22.866892	no hit	2
ENSG00000231050.1_1	RP1-140A9.1	lncRNA	promoter_overlap	-31.097355	-29.017157	no hit	2
ENSG00000233542.1_1	RP11-547D24.1	lncRNA	intergenic	-46.666115	-12.006468	no hit	2
ENSG00000226969.1_1	RP11-547D24.3	lncRNA	promoter_overlap	-32.48848	-27.878628	no hit	2
ENSG00000182873.5_1	RP11-181G12.2	lncRNA	transcript_overlap	-29.828594	-19.775148	no hit	2
ENSG00000234396.3_1	RP11-181G12.4	lncRNA	promoter_overlap	-22.778545	-27.118484	no hit	2
ENSG00000272161.1_2	RP4-713A8.1	lncRNA	promoter_overlap	-34.431606	-26.148819	no hit	2
ENSG00000272420.1_2	RP4-740C4.7	lncRNA	transcript_overlap	-62.948128	21.819101	no hit	2
ENSG00000272449.1_1	RP3-395M20.12	lncRNA	intergenic	-21.093042	-15.747634	no hit	2
ENSG00000228037.1_1	RP3-395M20.9	lncRNA	intergenic	-36.92223	-6.6957493	no hit	2
ENSG00000237058.1_1	RP13-436F16.1	lncRNA	promoter_overlap	-54.56313	-22.826605	no hit	2
ENSG00000177133.10_1	LINC00982	lncRNA	promoter_overlap	-11.454705	-5.3333907	no hit	1
ENSG00000226286.1_1	RP1-163G9.2	lncRNA	transcript_overlap	-46.55924	-26.204298	no hit	2
ENSG00000272088.1_1	RP11-168F9.2	lncRNA	intergenic	-58.302795	17.061241	no hit	2
ENSG00000238260.1_1	RP11-46F15.2	lncRNA	promoter_overlap	-20.564718	-10.2973795	no hit	2
ENSG00000235131.1_1	RP5-1092A11.2	lncRNA	transcript_overlap	-39.520016	-20.235802	no hit	2
ENSG00000272153.1_1	RP1-286D6.5	lncRNA	transcript_overlap	-40.884502	0.186257	no hit	2
ENSG00000236423.5_1	LINC01134	lncRNA	promoter_overlap	-19.193735	-1.9126223	no hit	2
ENSG00000235054.3_1	RP5-1166F10.1	lncRNA	intergenic	-32.983627	23.968765	no hit	2
ENSG00000231510.1_1	RP11-542C10.1	lncRNA	intergenic	-35.13038	22.112017	lenient	2
ENSG00000236948.2_2	RP11-154H17.1	lncRNA	intergenic	-1.1393629	56.03636	no hit	2
ENSG00000226944.1_2	RP1-120G22.11	lncRNA	promoter_overlap	-33.388905	-14.750716	no hit	2
ENSG00000225077.2_1	LINC00337	lncRNA	promoter_overlap	-22.57109	29.113768	no hit	2
ENSG00000231868.1_1	RP1-202O8.2	lncRNA	transcript_overlap	-35.97102	-17.78876	no hit	2
ENSG00000228750.6_1	RP11-242F24.1	lncRNA	intergenic	-47.54081	19.84927	lenient	2
ENSG00000237436.1_1	RP11-312B8.1	lncRNA	promoter_overlap	5.9611382	-56.10728	lenient	2
ENSG00000237402.1_2	CAMTA1-IT1	lncRNA	transcript_overlap	-42.67498	-0.7463903	no hit	2
ENSG00000270035.1_1	RP11-338N10.2	lncRNA	transcript_overlap	-38.583942	-25.984852	no hit	2
ENSG00000269978.1_1	RP11-338N10.3	lncRNA	transcript_overlap	-47.117035	-5.983039	no hit	2
ENSG00000269925.1_2	RP3-467L1.6	lncRNA	transcript_overlap	-71.6484	-0.08261232	no hit	2
ENSG00000236266.1_1	RP3-467L1.4	lncRNA	transcript_overlap	-41.377357	-4.46608	lenient	2
ENSG00000238290.1_1	RP11-431K24.1	lncRNA	promoter_overlap	-51.075626	-32.26236	no hit	2
ENSG00000232912.5_1	RP5-1115A15.1	lncRNA	transcript_overlap	-46.077248	-43.130173	no hit	2
ENSG00000228423.2_2	RP4-633I8.4	lncRNA	transcript_overlap	-69.545616	-8.513449	no hit	2
ENSG00000236269.1_2	ENO1-IT1	lncRNA	promoter_overlap	-6.4944353	1.6741406	no hit	2
ENSG00000230679.1_1	ENO1-AS1	lncRNA	promoter_overlap	-36.986134	-44.41288	no hit	2
ENSG00000228526.5_2	MIR34A	lncRNA	transcript_overlap	28.595905	-29.997942	no hit	1
ENSG00000234546.3_1	RP3-510D11.2	lncRNA	transcript_overlap	-12.781095	2.9327435	hit	2
ENSG00000281937.1_1	RP3-510D11.4	lncRNA	gene_nearby	-18.064724	-1.2339512	lenient	2
ENSG00000231789.2_1	PIK3CD-AS2	lncRNA	transcript_overlap	12.082603	-3.2704885	no hit	1
ENSG00000228150.1_2	RP11-84A14.4	lncRNA	promoter_overlap	-54.07964	-0.7146632	no hit	2
ENSG00000241326.1_2	RP11-807G9.2	lncRNA	transcript_overlap	-48.037163	-5.38142	no hit	2
