#chrom	start	end	name	score	strand	size	num_data	min	max	mean	median
chr14	62036757	62037757	ENST00000229465.10_1	0	+	1000	1000	-3.93	3.81	0.12	0.09
chr13	50655627	50656627	ENST00000235290.7_1	0	-	1000	1000	-7.78	5.78	0.86	0.43
chr20	43291639	43292639	ENST00000255183.8_2	0	-	1000	1000	-5.41	2.50	-0.20	-0.12
chr20	62921239	62922239	ENST00000279067.3_1	0	+	1000	1000	-4.92	3.98	0.18	0.15
chr1	148927813	148928813	ENST00000294715.2	0	+	1000	1000	-4.03	1.43	0.12	0.08
chr2	177502217	177503217	ENST00000295549.8_1	0	-	1000	1000	-5.25	5.57	0.56	0.34
chr5	135470079	135471079	ENST00000297163.3_1	0	-	1000	1000	-7.34	4.37	0.58	0.35
chr9	21559197	21560197	ENST00000304425.3_1	0	-	1000	1000	-4.79	3.62	0.03	0.07
chr12	8387512	8388512	ENST00000304751.9_1	0	+	1000	1000	-6.35	7.81	0.68	0.04
chr9	35371	36371	ENST00000305248.5_1	0	-	1000	1000	-6.58	3.06	0.13	0.08
chr9	66553108	66554108	ENST00000305709.5_1	0	+	1000	1000	-4.60	0.28	0.00	0.24
chr11	115452524	115453524	ENST00000306533.8_1	0	+	1000	1000	-4.57	3.60	0.00	0.26
chr2	112252172	112253172	ENST00000308604.5_1	0	-	1000	1000	-6.11	5.58	0.47	0.15
chr7	99933237	99934237	ENST00000310771.8_1	0	+	1000	1000	-3.60	2.09	0.06	0.12
chr1	15478471	15479471	ENST00000310916.6_1	0	-	1000	1000	-4.06	3.57	-0.08	-0.04
chr7	33765091	33766091	ENST00000311067.3_1	0	+	1000	1000	-3.47	4.21	0.42	0.35
chr1	35443807	35444807	ENST00000311990.4_1	0	-	1000	1000	-3.12	4.16	0.39	0.23
chr2	25593056	25594056	ENST00000313031.2_1	0	-	1000	1000	-3.17	2.99	0.02	0.22
chr5	60981625	60982625	ENST00000313303.8_1	0	+	1000	1000	-4.58	4.81	0.17	0.09
chr17	12452784	12453784	ENST00000313495.6_1	0	+	1000	1000	-4.14	6.56	0.82	0.35
chr15	44828565	44829565	ENST00000313807.4_1	0	-	1000	1000	-4.84	4.34	0.16	-0.02
chr19	35596249	35597249	ENST00000313865.6_1	0	+	1000	1000	-6.12	6.42	-0.11	-0.09
chr19	58513762	58514762	ENST00000313957.7_1	0	+	1000	1000	-5.28	4.10	-0.24	-0.11
chr19	1954040	1955040	ENST00000314315.7_1	0	-	1000	1000	-7.23	3.24	-0.43	-0.28
chr5	43017581	43018581	ENST00000314957.3_1	0	-	1000	1000	-4.73	1.16	-0.33	-0.22
chr4	183065096	183066096	ENST00000315302.6_1	0	-	1000	1000	-4.46	5.67	0.77	0.62
chr19	38039741	38040741	ENST00000316807.2_1	0	-	1000	1000	-5.11	0.36	-0.02	0.25
chr18	3593610	3594610	ENST00000317114.1_1	0	+	1000	1000	-5.51	5.16	0.61	0.39
chr4	185274613	185275613	ENST00000317596.3_1	0	-	1000	1000	-5.36	2.30	-0.13	-0.08
chr4	85887452	85888452	ENST00000318186.6_1	0	+	1000	1000	-4.68	4.17	0.45	0.30
chr12	751702	752702	ENST00000318291.4_1	0	+	1000	1000	-8.21	3.97	-0.42	-0.22
chr12	13529145	13530145	ENST00000318426.6_1	0	-	1000	1000	-3.87	3.00	0.05	0.07
chr1	181205094	181206094	ENST00000319701.2_1	0	+	1000	1000	-6.01	3.80	0.10	0.06
