group_id	transcript_name	ctrl_status	transcript_biotype_status	CRISPhieRmix_FDR	effect_size	hit_status	n_sgRNA
NC_000023.11:-:11111137	[RP11-120D5.1-004, RP11-120D5.1-005]	experimental	promoter_overlap	0.0	4.21180752340324	hit	7
NC_000003.12:-:27722322	EOMES-001	control	protein_coding	0.0	5.397301319185469	hit	6
NC_000008.11:+:54457934	SOX17-001	control	protein_coding	0.0	7.86457368664365	hit	7
NC_000003.12:-:27722707	EOMES-004	control	protein_coding	0.0	5.932002006218691	hit	6
NC_000003.12:-:38454682	ACVR2B-AS1-001	experimental	promoter_overlap	1.26565424807268e-15	3.1103331440624795	hit	10
NC_000011.10:+:90223166	RP11-121L10.2-001	experimental	promoter_overlap	4.0338103228047404e-15	3.07003202662896	hit	8
NC_000019.10:+:11060127	SMARCA4-014	mRNA	protein_coding	9.15455013382273e-12	1.24326358946668	hit	6
NC_000020.11:-:22584571	FOXA2-002	control	protein_coding	4.84243062315315e-11	3.09336627965958	hit	9
NC_000020.11:+:37095770	RP4-621N11.2-001	experimental	promoter_overlap	3.12017781981903e-10	0.657246439331691	hit	5
NC_000005.10:-:173329499	STC2-001	mRNA	protein_coding	8.7739070453452e-10	1.11140456399335	hit	6
NC_000012.12:-:53999649	HOXC-AS1-002	experimental	promoter_overlap	1.34112672482574e-09	0.8252221554544921	hit	8
NC_000007.14:-:149452	[AC093627.9-003, AC093627.9-001, AC093627.9-004]	experimental	promoter_overlap	1.77045263634786e-09	1.06885556983867	hit	4
NC_000001.11:-:15565955	RP4-680D5.8-001	experimental	promoter_overlap	2.47793639453529e-09	-0.6673666157973679	hit	3
NC_000017.11:-:7192239	CTD-2545G14.4-001	experimental	promoter_overlap	3.36164297192505e-09	0.266646215133698	hit	3
NC_000008.11:+:71675353	[RP11-1144P22.1-001, RP11-1144P22.1-002]	experimental	intergenic	4.38940836270755e-09	1.40142825855551	hit	4
NC_000018.10:-:75106259	RP11-405M12.2-001	experimental	intergenic	6.1902229869792394e-09	0.5753794598985971	hit	7
NC_000011.10:-:1989963	MRPL23-AS1-001	experimental	transcript_overlap	9.27557302860962e-09	0.8738440579608839	hit	7
NC_000011.10:+:327235	RP11-326C3.12-001	experimental	promoter_overlap	7.756410567531331e-08	1.3137038649925	hit	6
