NC_000014.9:+:61570538	ENST00000229465.10_1
NC_000014.9:+:21107660	ENST00000320322.2_1
NC_000014.9:-:55580109	ENST00000335142.5_1
NC_000014.9:+:95663256	ENST00000352367.10_1
NC_000014.9:+:95650498	ENST00000357168.6_1
NC_000014.9:-:64338612	ENST00000359491.1_1
NC_000014.9:-:85530041	ENST00000380722.2_1
NC_000014.9:+:100833189	ENST00000398461.5_1
NC_000014.9:+:100830632	ENST00000398474.7_1
NC_000014.9:-:23953668	ENST00000399886.2_1
NC_000014.9:-:55580109	ENST00000412224.6_1
NC_000014.9:+:53369449	ENST00000425648.1_1
NC_000014.9:+:53217877	ENST00000435322.1_1
NC_000014.9:+:95157686	ENST00000435343.1_1
NC_000014.9:+:96943579	ENST00000435624.1_1
NC_000014.9:-:53613936	ENST00000436530.1_1
NC_000014.9:+:95157686	ENST00000439819.5_1
NC_000014.9:+:95177484	ENST00000439999.1_1
NC_000014.9:+:100958279	ENST00000443252.3_1
NC_000014.9:+:100826117	ENST00000451743.6_1
NC_000014.9:+:100826117	ENST00000452120.6_1
NC_000014.9:+:53169013	ENST00000454942.5_1
NC_000014.9:+:100827396	ENST00000455286.1_1
NC_000014.9:+:53217654	ENST00000456100.5_1
NC_000014.9:+:22920529	ENST00000457443.2_1
NC_000014.9:+:95650501	ENST00000460130.5_1
NC_000014.9:-:30889672	ENST00000468444.2_1
NC_000014.9:+:96943639	ENST00000495064.1_1
NC_000014.9:-:103684014	ENST00000498989.2_1
NC_000014.9:-:70641363	ENST00000500016.1_1
NC_000014.9:+:77041051	ENST00000500215.3_1
NC_000014.9:-:95534623	ENST00000500370.2_1
NC_000014.9:+:31420762	ENST00000502430.2_1
NC_000014.9:-:105419766	ENST00000504332.1_1
NC_000014.9:-:30297038	ENST00000508469.2_1
NC_000014.9:-:22482995	ENST00000514473.2_1
NC_000014.9:-:103189230	ENST00000514902.2_1
NC_000014.9:+:40954919	ENST00000515218.2_1
NC_000014.9:+:100826117	ENST00000519709.5_1
NC_000014.9:+:100826117	ENST00000521404.5_1
NC_000014.9:+:100835732	ENST00000522618.1_1
NC_000014.9:+:100833536	ENST00000524035.5_1
NC_000014.9:+:100835732	ENST00000524131.5_1
NC_000014.9:-:20346887	ENST00000528210.1_1
NC_000014.9:-:60248988	ENST00000529171.5_1
NC_000014.9:-:50006190	ENST00000529902.2_1
NC_000014.9:-:65222442	ENST00000531609.1_1
NC_000014.9:+:21024301	ENST00000532213.2_1
NC_000014.9:-:49993094	ENST00000533506.5_1
NC_000014.9:+:21024222	ENST00000533984.1_1
NC_000014.9:+:56813157	ENST00000534909.2_1
NC_000014.9:+:21521083	ENST00000535893.1_1
NC_000014.9:-:21716261	ENST00000542992.1_1
NC_000014.9:+:45377268	ENST00000546784.2_1
NC_000014.9:+:105095191	ENST00000546968.1_1
NC_000014.9:+:95711756	ENST00000547644.6_1
NC_000014.9:+:26598178	ENST00000547786.1_1
NC_000014.9:-:31561329	ENST00000548096.1_1
NC_000014.9:+:105093460	ENST00000548104.1_1
NC_000014.9:-:29980253	ENST00000548124.1_1
NC_000014.9:-:35950022	ENST00000548199.1_1
NC_000014.9:-:105181311	ENST00000548203.1_1
NC_000014.9:+:28772786	ENST00000548213.2_1
NC_000014.9:+:28318141	ENST00000548280.1_1
NC_000014.9:+:22929633	ENST00000548322.1_1
NC_000014.9:+:26735354	ENST00000548328.5_1
NC_000014.9:+:26809371	ENST00000548335.1_1
NC_000014.9:+:105095325	ENST00000548361.1_1
NC_000014.9:-:29353801	ENST00000548665.5_1
NC_000014.9:+:22929608	ENST00000548819.5_1
NC_000014.9:-:28830202	ENST00000549013.1_1
NC_000014.9:-:30297038	ENST00000549360.1_1
NC_000014.9:-:28765269	ENST00000549487.1_1
NC_000014.9:+:31420098	ENST00000549844.5_1
NC_000014.9:-:30503332	ENST00000550118.2_1
NC_000014.9:+:28785891	ENST00000550266.1_1
NC_000014.9:-:89631565	ENST00000550332.5_1
NC_000014.9:+:31420762	ENST00000550431.1_1
NC_000014.9:-:30474069	ENST00000550680.5_1
NC_000014.9:+:18928639	ENST00000551067.1_1
NC_000014.9:-:105419766	ENST00000551271.5_1
NC_000014.9:-:57112666	ENST00000551408.2_1
NC_000014.9:-:58298114	ENST00000551597.6_1
NC_000014.9:+:26782168	ENST00000552101.1_1
NC_000014.9:+:26843476	ENST00000552303.1_1
NC_000014.9:-:105470725	ENST00000552675.1_1
NC_000014.9:+:26637269	ENST00000552826.5_1
NC_000014.9:+:28772786	ENST00000552957.5_1
NC_000014.9:+:35873857	ENST00000553046.1_1
NC_000014.9:-:101632529	ENST00000553270.1_1
NC_000014.9:+:51765276	ENST00000553312.1_1
NC_000014.9:-:104858796	ENST00000553344.2_1
NC_000014.9:-:86062983	ENST00000553346.1_1
NC_000014.9:+:96592767	ENST00000553378.1_1
NC_000014.9:-:73520647	ENST00000553394.1_1
NC_000014.9:-:37902124	ENST00000553396.1_1
NC_000014.9:-:104655571	ENST00000553433.1_1
NC_000014.9:-:23954170	ENST00000553454.1_1
NC_000014.9:+:40386252	ENST00000553464.1_1
NC_000014.9:+:73789079	ENST00000553470.1_1
NC_000014.9:-:20936329	ENST00000553534.1_1
NC_000014.9:-:95534623	ENST00000553559.1_1
NC_000014.9:-:101334896	ENST00000553561.1_1
NC_000014.9:-:101555435	ENST00000553575.1_1
NC_000014.9:-:32076665	ENST00000553596.2_1
NC_000014.9:+:71212632	ENST00000553621.1_1
NC_000014.9:-:50961990	ENST00000553648.2_1
NC_000014.9:-:58298114	ENST00000553657.5_1
NC_000014.9:+:85983946	ENST00000553668.2_1
NC_000014.9:+:85528786	ENST00000553678.1_1
NC_000014.9:+:86331598	ENST00000553679.1_1
NC_000014.9:+:70698591	ENST00000553682.1_1
NC_000014.9:-:102066262	ENST00000553701.1_1
NC_000014.9:+:91242759	ENST00000553725.5_1
NC_000014.9:+:75970924	ENST00000553732.1_1
NC_000014.9:+:76778982	ENST00000553758.1_1
NC_000014.9:+:82642621	ENST00000553760.5_1
NC_000014.9:+:70275296	ENST00000553791.1_1
NC_000014.9:-:22766555	ENST00000553792.1_1
NC_000014.9:-:56647771	ENST00000553800.5_1
NC_000014.9:+:88024592	ENST00000553929.5_1
NC_000014.9:+:68979923	ENST00000553944.2_1
NC_000014.9:-:100291502	ENST00000553954.1_1
NC_000014.9:+:68979558	ENST00000553961.1_1
NC_000014.9:-:95866474	ENST00000553963.1_1
NC_000014.9:-:70641162	ENST00000553982.1_1
NC_000014.9:+:23512815	ENST00000553985.1_1
NC_000014.9:-:89642670	ENST00000553996.2_1
