group_id	transcript_name	ctrl_status	transcript_biotype_status	CRISPhieRmix_FDR	effect_size	hit_status	n_sgRNA
NC_000008.11:+:54457934	SOX17-001	control	protein_coding	0.0	7.86457368664365	hit	7
NC_000003.12:-:27722707	EOMES-004	control	protein_coding	0.0	5.932002006218691	hit	6
NC_000003.12:-:27722322	EOMES-001	control	protein_coding	0.0	5.397301319185469	hit	6
NC_000023.11:-:11111137	[RP11-120D5.1-004, RP11-120D5.1-005]	experimental	promoter_overlap	0.0	4.21180752340324	hit	7
NC_000003.12:-:38454682	ACVR2B-AS1-001	experimental	promoter_overlap	1.26565424807268e-15	3.1103331440624795	hit	10
NC_000011.10:+:90223166	RP11-121L10.2-001	experimental	promoter_overlap	4.0338103228047404e-15	3.07003202662896	hit	8
NC_000019.10:+:11060127	SMARCA4-014	mRNA	protein_coding	9.15455013382273e-12	1.24326358946668	hit	6
NC_000020.11:-:22584571	FOXA2-002	control	protein_coding	4.84243062315315e-11	3.09336627965958	hit	9
NC_000020.11:+:37095770	RP4-621N11.2-001	experimental	promoter_overlap	3.12017781981903e-10	0.657246439331691	hit	5
NC_000005.10:-:173329499	STC2-001	mRNA	protein_coding	8.7739071563675e-10	1.11140456399335	hit	6
NC_000012.12:-:53999649	HOXC-AS1-002	experimental	promoter_overlap	1.34112673491868e-09	0.8252221554544921	hit	8
NC_000007.14:-:149452	[AC093627.9-004, AC093627.9-003, AC093627.9-001]	experimental	promoter_overlap	1.77045264559972e-09	1.06885556983867	hit	4
NC_000001.11:-:15565955	RP4-680D5.8-001	experimental	promoter_overlap	2.47793640307547e-09	-0.6673666157973679	hit	3
NC_000017.11:-:7192239	CTD-2545G14.4-001	experimental	promoter_overlap	3.36164299571554e-09	0.266646215133698	hit	3
NC_000008.11:+:71675353	[RP11-1144P22.1-002, RP11-1144P22.1-001]	experimental	intergenic	4.38940839971499e-09	1.40142825855551	hit	4
NC_000018.10:-:75106259	RP11-405M12.2-001	experimental	intergenic	6.19022300779593e-09	0.5753794598985971	hit	7
NC_000011.10:-:1989963	MRPL23-AS1-001	experimental	transcript_overlap	9.27557305473252e-09	0.8738440579608839	hit	7
NC_000011.10:+:327235	RP11-326C3.12-001	experimental	promoter_overlap	7.756410577399981e-08	1.3137038649925	hit	6
NC_000005.10:+:177495046	RP11-1334A24.6-001	experimental	transcript_overlap	1.60371684119666e-07	1.25570565756669	hit	8
NC_000004.12:+:52712503	[DANCR-004, DANCR-002, DANCR-003]	experimental	intergenic	2.44667823029454e-07	1.1707788009028002	hit	10
NC_000010.11:+:42871521	RP11-124O11.1-001	experimental	intergenic	3.41639052703875e-07	1.35355425880166	hit	6
NC_000005.10:-:163256966	RP11-541P9.3-003	experimental	intergenic	6.11406424620078e-07	1.42571067765474	hit	4
NC_000011.10:+:66347799	[RP11-867G23.8-007, RP11-867G23.8-001, RP11-867G23.8-004]	experimental	promoter_overlap	1.05159861240673e-06	1.00783876666008	hit	6
NC_000017.11:+:1516924	PITPNA-AS1-001	experimental	promoter_overlap	2.15812730855469e-06	3.30688046853885	hit	4
NC_000022.11:-:38681855	[RP3-508I15.9-004, RP3-508I15.9-002, RP3-508I15.9-001]	experimental	promoter_overlap	3.35650811944976e-06	2.36310280213888	hit	8
NC_000019.10:+:50830505	AC011523.2-001	experimental	promoter_overlap	4.4817702713430605e-06	0.527425647552389	hit	6
NC_000018.10:+:59899995	PMAIP1-001	mRNA	protein_coding	5.69478954925161e-06	2.56524990244186	hit	9
NC_000022.11:+:21640844	KB-1440D3.14-001	experimental	gene_nearby	6.9256066646222e-06	1.23990287978423	hit	7
NC_000010.11:-:35642295	FZD8-001	mRNA	protein_coding	9.06863265463463e-06	1.35604788030451	hit	6
NC_000003.12:+:13650695	LINC00620-002	experimental	intergenic	1.1087936906513801e-05	1.1287279157333898	hit	9
NC_000011.10:-:94740311	RP11-867G2.8-001	experimental	transcript_overlap	2.0025613379602202e-05	1.50495310196942	hit	3
NC_000017.11:-:42761277	RAMP2-AS1-004	experimental	promoter_overlap	2.96296711884414e-05	0.683996133138835	hit	3
NC_000021.9:+:44801879	LINC01424-001	experimental	promoter_overlap	4.83945913357014e-05	2.04820930329526	hit	4
NC_000018.10:+:22169434	GATA6-001	control	protein_coding	6.75712890345724e-05	2.4280594357329	hit	7
NC_000014.9:-:38091157	CTD-2058B24.2-002	experimental	transcript_overlap	8.941190116665359e-05	1.38574868062015	hit	8
NC_000016.10:+:56648176	RP11-249C24.11-001	experimental	transcript_overlap	0.000120976270178976	0.822880840582913	hit	5
NC_000003.12:+:27712918	RP11-222K16.2-001	experimental	intergenic	0.000151204857030321	2.34516745287985	hit	6
NC_000002.12:-:74833855	RP11-259N19.1-001	experimental	promoter_overlap	0.000214192064623648	1.4552683146701202	hit	6
NC_000011.10:-:134037151	RP11-713P17.4-001	experimental	promoter_overlap	0.00029251579125997	1.20109696828107	hit	5
NC_000019.10:+:956668	LLNLR-260G6.1-001	experimental	transcript_overlap	0.00038180616248043904	1.8290859925301104	hit	5
